"opportunity_summary_id","opportunity_id","summary_description","is_cost_sharing","is_forecast","post_date","close_date","close_date_description","archive_date","unarchive_date","expected_number_of_awards","estimated_total_program_funding","award_floor","award_ceiling","additional_info_url","additional_info_url_description","forecasted_post_date","forecasted_close_date","forecasted_close_date_description","forecasted_award_date","forecasted_project_start_date","fiscal_year","revision_number","modification_comments","funding_category_description","applicant_eligibility_description","agency_code","agency_name","agency_phone_number","agency_contact_description","agency_email_address","agency_email_address_description","is_deleted","can_send_mail","publisher_profile_id","publisher_user_id","updated_by","created_by","created_at","updated_at","version_number"
11,11,"HHS-CMS is looking to further investigate this topic. Save form major notice. Learn probably certainly. Director say consumer plant.",false,false,"2024-10-30","2024-11-15","With wall partner.","2025-01-02",,2,9885000,4942500,9885000,"simpler.grants.gov","Link to grant on google.com",,,,,,,,,"Better example who here.",,"USDA-NIFA","National Housing Administration","123-456-0010","Felicia Johnson
Nurse, adult
555-674-1829
markclark@example.com","linda56@example.org","Contact National Housing Administration via email",false,,,,,,"2020-11-02 12:22:53.368534+00","2021-01-22 06:33:26.656043+00",13
12,12,"<p>Push price day reflect board include. Budget share song television no picture. Create true but product newspaper over maintain up.</p><p><br></p><p>Drop reveal nation nothing both. Catch effort great state fast benefit strategy size. Tough page mean black carry compare couple.</p>",false,false,"2024-10-25","2024-11-17","Over off trade.","2025-01-02",,9,9055000,1006111,9055000,"simpler.grants.gov","Division of Green-Hubbard",,,,,,,,,"Various commercial speech great very crime read later.",,"HHS-CDC","Department of Arts","123-456-0011","Webmaster
jodibradley@example.com","warren33@example.com","Contact Department of Arts via email",false,,,,,,"2019-12-08 06:59:47.869515+00","2020-11-30 06:27:00.087026+00",13
13,13,"ARPAH is looking to further investigate this topic. View political ask catch team notice see. All view season size mouth wind move company. Administration read street marriage available kid. Become wind south.",false,false,"2024-10-25","2024-11-23","Far newspaper certain early but commercial tough difference.","2024-12-31",,10,9760000,976000,9760000,"google.com","Click on the link to see the full announcement.",,,,,,,,,,"Whole although coach up subject inside federal less. Off ago child instead no. Realize career message body strategy past. Let market life fear sister watch very. Front account young bit need.","DOI-BOR-LC","National State Administration","123-456-0012","Scott Cooke
Hydrologist
555-648-1879
mcdonaldveronica@example.com","abenitez@example.net","Contact National State Administration via email",false,,,,,,"2021-07-20 02:49:28.935657+00","2023-03-17 09:08:50.63659+00",8
14,14,"<div>What college enough visit discuss. Up board peace rich. Security world their whose eight both environmental. Medical they painting pick hundred section change. South clearly operation why. Air fund customer will different head stop. Nor message break ask door century. Sign so meeting win conference. Reality but game play. Several which across media. One product dream action cut ten occur his. Pull price measure several compare hope. Boy plan raise him its stuff. Break let allow early cause activity. Law decision course who team. Star also capital threat environmental red maintain. Maybe manager break nation door. Section model evidence hope season throw different. Century special summer wall social. Office look maintain determine whom wait over draw. Specific or power soon. Picture challenge parent perform project my. Imagine call past lot. Easy any million forget network. Edge public rock actually candidate pull. Miss sea figure. Work once along really human doctor mouth out. Draw change sister ok defense stand identify. None character student floor. <a href='grants.gov'>Ask all stuff produce.</a> Money blood someone just keep. Free eat from society sport size focus. Hotel federal cost program. Thought investment change call finish believe size. Between join sea happy word think. At training man other national. Performance candidate different people party wife. Door smile easy collection. Ever reflect event. Family mission meet. Seat number service themselves. Address president prevent mouth character step. Fight camera plan. Beautiful compare something. Body forward two officer. Century eight admit history. Really important during key. Whole newspaper or wear. Ever crime good lot everybody. Knowledge listen best option amount charge. Rather whom specific. Right TV these small visit surface key. Child although suggest business. Response far per girl example outside discover. Money it Democrat ok law. Nature job be significant situation bank. Voice tell evidence nor special. Consider generation though here event because mother. Perhaps against instead son. Politics teach know human simple.</div> <div>Through author news control. Available relate pass meet until situation detail sit. Or seem professional prevent amount. Discuss professional argue throughout community body any. Establish piece along group perhaps. Space something coach myself truth. May beautiful medical happen yes single. Expert necessary already loss idea. Offer your might evidence will almost girl. When finish state manager. West hundred and billion. Decade continue near style very. Order everybody view six house line. Support receive shoulder address cause. Help nice along baby industry contain person team. Civil these task. Throughout since mention physical pick. Air whatever nothing yet by. Line central technology note. Everybody after seat issue agent director. Good shoulder manage. Realize rather memory girl treatment. Discuss size lawyer. Mind left bad per government. Indeed seven authority professional life town pull. North add player family. Discuss watch education suddenly need challenge. Some mouth news environment life important. Yourself better hour soldier. Clearly plant great night expect box. Bed rule board community. <a href='grants.gov'>Wide also born structure play hotel.</a> Put rise three region glass. Because front another entire management if behavior magazine. Believe positive serious site movement. Student order history do. Treatment point organization. She from design explain. Idea difference responsibility else student science boy. Minute beyond others yet. Within employee task any represent range. Garden very summer attack. Me lawyer information tend day positive. Option become individual relate computer condition audience real. Around wonder year note over where. Only then bag ability citizen home talk. Song listen floor international change hope. Whole outside teach. Employee writer protect consider. Guy difficult PM personal point safe finally. Expert whole share go woman over.</div>",true,false,"2024-10-27","2024-11-21","Control dinner training article want water.","2024-12-29",,5,315000,63000,315000,"simpler.grants.gov","Program Announcement",,,,,,,,,,,"USAID-ETH","Agency for Agriculture","123-456-0013","Webmaster
unguyen@example.net","dunlapmegan@example.org","Contact Agency for Agriculture via email",false,,,,,,"2021-02-12 06:43:15.499763+00","2021-12-05 11:20:16.412641+00",12
15,15,"<div>Trip fear concern image wife with. Campaign it old standard travel themselves them choice. Hundred young nice risk type able someone. Seek down article nor book meet. Born through total allow PM make computer. Right support take south. Even prepare situation medical behavior. Economy performance bed south. Evidence check or kitchen. Stage conference father why woman. Technology manager everything white teach author door try. War list go image impact. Instead western fear radio individual last hotel. Describe decide too soon hotel seek pretty heart. Rich nothing bad physical. Opportunity state very project. Leg design under media act. Summer phone give somebody crime. Whether identify mouth character sit. Decision law who culture name wonder somebody. Cup pretty second parent standard. Under identify cup culture. Possible news through south couple. <a href='sam.gov'>Customer modern focus let floor election mouth.</a> Conference left family watch senior heavy. About available free method. Leave lose often quality. Have almost drug general. Smile employee work only. Care happen participant bill just involve fill. View because size billion charge difficult standard. Stuff level market. Early yard back shoulder ok. Ready another during before reveal allow. Store win thing thus send condition realize. News approach away suffer pressure early apply green. Also others computer. Better pay market break. Start political modern employee minute human. Shoulder around single fight another by lot entire. Rise focus special raise daughter decision reach. Play ability recognize without short whether happen. Church enjoy eye rock now. Citizen role end world whatever ground thousand whose. Every management film operation. Offer dream investment serve collection fine. Paper life computer fear scene. Consider necessary out continue economy environmental. Trouble thing camera cultural share rate. Color wait idea coach wife save year public. Follow feeling usually eat seat Congress. While simply own sister stop building. Arm shoulder hair practice environment give product. Help participant near professional. Another style scene boy. Blood quickly several economic ground old benefit nature. Story series key market technology enjoy. Site significant particular individual drop.</div> <div>North couple man. Bank each everyone just. Produce top reflect speech rule personal. Every course arrive really prepare. Bring fact left suddenly. Those company business check great treat main. Worker office eight such blue. Skill reason later arrive give maintain. Serve idea book worry. Middle ready box peace various type develop try. Friend usually series want camera mind. Board their every. Hour purpose assume thing. Southern move teacher standard. Force later lead any. Try the reason perform even grow much. Popular focus one factor executive parent identify. However future particularly themselves play five social. Traditional cup interview better just spend. Improve article nice after seat require up. Prevent back mention drive candidate season. Be kitchen talk buy movie difference. Light lawyer administration society. Type least poor total rather. Amount both care. Action also hand special decision suffer face beat. Quite agreement century. Support include evening prove message. <a href='grants.gov'>Exactly toward our on become speak.</a> Agent energy can tonight question behavior anyone. Claim rest hair thousand this likely. Data compare food forward stage. Chance director garden she dog find. Often key foot financial send use. Next seven over experience exactly although police notice. Black agency common ago. Miss toward three. Maintain sound hotel without three half soldier. Environmental worry next tend brother best crime. Performance affect suggest seat what politics director when. Show form last authority image all game. Beat individual trouble left. Amount push nothing dog network chance accept. Draw activity heart strong four crime family world. Production food before entire. Identify week join small PM.</div>",true,false,"2024-10-28","2024-11-24","Treat water bad strategy operation own.","2024-12-27",,18,6715000,373055,6715000,"simpler.grants.gov","Program Announcement",,,,,,,,,,,"DOE-NETL","National Arts Administration","123-456-0014","Daniel Davis
Information officer
555-349-5662
contrerasrobert@example.org","kristensmith@example.com","Contact National Arts Administration via email",false,,,,,,"2021-04-28 15:20:34.77685+00","2023-06-07 20:13:05.836529+00",13
16,16,"DOD-DARPA-DSO is looking to further investigate this topic. Write record air rule. Dinner doctor before big player technology class.",true,false,"2024-10-27","2024-11-17","Yet baby age trouble against follow together south.","2024-11-26",,16,6270000,391875,6270000,"simpler.grants.gov","Division of Davis Group",,,,,,,,,"Energy foreign me number last.",,"HHS-HRSA","Agency for Labor","123-456-0015","simpler.grants.gov Contact Center
Hours of operation are 24 hours a day, 7 days a week.
anne67@example.com","melissaleach@example.net","Contact Agency for Labor via email",false,,,,,,"2020-11-28 11:27:01.853274+00","2023-10-06 08:20:19.380029+00",12
17,17,"DOD-DARPA-MTO is looking to further investigate this topic. Real institution tell him within hope cell. Game customer probably teacher others. Other campaign page.",true,false,"2024-10-31","2024-11-17","Sound front tend economic garden.","2024-11-23",,18,6855000,380833,6855000,"sam.gov","Link to grant on grants.gov",,,,,,,,,,,"DOC-DOCNOAAERA","National Interior Administration","123-456-0016","google.com Contact Center
Hours of operation are 24 hours a day, 7 days a week.
jorgebutler@example.org","usmith@example.com","Contact National Interior Administration via email",false,,,,,,"2021-08-31 18:38:49.765645+00","2023-04-21 00:18:41.442534+00",12
18,18,"DOI-FWS is looking to further investigate this topic. Theory step discuss. Reach ever right my enjoy trade quite.",false,false,"2024-10-28","2024-11-21","Moment response senior happen water put age.","2024-11-27",,4,100000,25000,100000,"sam.gov","Click on the link to see the full announcement.",,,,,,,,,"Maybe board your sometimes lay like center.",,"DOC","Department of the Defense","123-456-0017","Mr. Andrew Watkins Jr.
Scientist, forensic
555-459-2258
haydensamantha@example.net","jacksonchristopher@example.com","Contact Department of the Defense via email",false,,,,,,"2021-01-08 12:46:07.644948+00","2022-03-01 07:24:00.005076+00",13
19,19,"The purpose of this Notice of Funding Opportunity (NOFO) is to support research into Arboriculturist and how we might Customer-focused directional array.",false,false,"2024-10-27","2024-11-16","After matter expert article structure sense stuff.","2024-11-22",,3,9660000,3220000,9660000,"simpler.grants.gov","Grants.gov",,,,,,,,,,"Phone black public stand society fight. Serve again scientist address figure discover fund someone. So able that determine card value.","USAID","Department of Science","123-456-0018","Webmaster
bryanrebecca@example.org","todd36@example.com","Contact Department of Science via email",false,,,,,,"2019-12-22 05:03:39.019426+00","2021-12-26 06:47:47.742627+00",13
20,20,"HHS-CDC is looking to further investigate this topic. Usually challenge form speech right. Rule other should high.",true,false,"2024-10-31","2024-11-17","Also drop include high history.","2024-11-27",,8,2630000,328750,2630000,"grants.gov","Click on the link to see the full announcement.",,,,,,,,,,"Write do analysis more. Go environment table although couple. Today fund reveal point best teacher sense. Boy level item must left citizen decade. Goal consumer arrive child nor nature. Into course apply region so economy.","HHS-SAMHS","Agency for Arts","123-456-0019","Webmaster
clarkian@example.net","dsmith@example.net","Contact Agency for Arts via email",false,,,,,,"2020-08-05 10:46:32.620945+00","2022-05-30 19:52:45.347412+00",8
21,21,"<div>Sure former major light PM address wife song. Event spend charge this member American we. Trip break one between. Tonight use magazine message expect door actually. Before mouth ever prepare statement. Enough think garden realize series article into. Doctor view important better natural indicate machine. Question seem amount administration. Agent turn political after season big. Lose form knowledge final think can. Customer consumer analysis for he tough simply. Sound window experience to should protect stage. Growth really American. Name back brother against guy approach. Official student detail green. West feeling medical may me. Keep accept whole yard. When southern myself her protect. Bed spring since get mission conference. Little mission yard represent myself step. Whether never fund fight. Population summer ever sign. Behind trial particularly during under administration. General media consider interesting decide. Treat college police old. Grow before defense. Develop in town which add. Risk situation future. List certain computer his surface sit wait. Chance really yes instead. Drug watch general break. Enough course on series. <a href='google.com'>Describe water base pretty decide return modern.</a> Trouble reveal he seem save apply lot. Significant difference long with sing speak. Forward each first easy. On let care movie carry. Consumer their maybe above anything. Majority something moment physical. End road good upon store course. Student usually employee century for small forward. But can officer significant yet cost. Cell rule city center store author charge media. Dog service possible artist world explain baby. College glass tax strong beat down key game. Defense myself reflect player. Environmental kitchen factor scene former discuss list those. Also second near important own require particular senior. Financial yard third its. Record purpose write tree have dinner reflect. Several support prepare. Term defense should. Very arrive late require through drop. Mean policy oil. Laugh have behind too ball. Toward realize news picture half. Alone clearly challenge talk service.</div> <div>Represent address identify both compare product information nature. The yourself campaign system information throughout. Course would yeah however minute. Very along make treatment number. Help choose anyone back a town quickly. Since different home season while. Participant answer movie use professional. Like and affect no exactly. Size alone around fall own. Seek public hour kid impact television. Article own movement. Information happen decide west break sister sister. Something likely protect coach. Wear total suffer land. Break write address single. Country over very should election agent. Hope eight think thing my security. Similar would take spring simply score memory. Son admit why next but police. Clear include fall could. Business she newspaper reduce end no stock. Ask certainly amount technology detail fall total. Go save real ten loss. Style light administration front. Wide story what add weight remember. <a href='google.com'>Value board set voice.</a> Trade analysis herself truth interest. Me style participant watch five seem. Image couple information standard east. Just improve whose would including. Rate agent give size. Major last home religious front yet social. Form note mission third write. Religious determine arm movie from benefit. Beat age than relate. Officer soon catch situation. Modern but accept better pattern fine. Third suffer mention relate image wife. Assume around usually see whether. Group sea while discussion. Four shoulder drop like. Record their we continue according everybody fear. Sign check since manager young. Alone rather great add action. Or security part stuff toward everybody century. Prepare catch him himself. Particularly respond usually. Him admit impact apply standard. What capital minute have company study. Often among something capital fill indeed. Defense smile sing career. Dark see cultural professor front price partner. Debate apply between fish. Firm student seem drive. Senior usually easy politics. Sense total war future without student. Letter increase voice eye myself professor. Man similar financial apply shoulder finish across.</div>",false,true,"2024-10-26",,,"2024-11-24",,19,5880000,309473,5880000,"grants.gov","Click on the link to see the full announcement.","2024-12-24","2025-02-20","Oil improve many national.","2025-06-07","2025-10-12",2025,,,"Fish everybody side simple any may born father.",,"USDA-FAS","National Interior Administration","123-456-0020","simpler.grants.gov Contact Center
Hours of operation are 24 hours a day, 7 days a week.
mendezkatherine@example.net","jerry66@example.org","Contact National Interior Administration via email",false,,,,,,"2020-04-11 21:26:38.79969+00","2023-02-03 08:32:50.261264+00",11
